FirstName,LastName,AccountNumber,RoutingNumber,Amount
Bruce,Giovanna,970329956509,786725741, $600.74 
Newman,Uriah,169182977068,332458269, $699.02 
Johnston,Oaklynn,284868867054,905079182, $912.67 
Bender,Felix,143414599244,481186441, $959.52 
Vaughan,Lilyana,692610272796,470956513, $231.31 
Camacho,Castiel,756145885995,793490800, $425.42 
Rowland,Armani,422401397868,502274092, $776.58 
Garner,Eliezer,462566229855,104088306, $313.38 
Murray,Jacqueline,893611910787,417967874, $915.66 
Brandt,Ashton,732558833183,336461240, $731.15 
Higgins,Loretta,303008691602,744745116, $871.43 
Zamora,Sterling,307448385081,633267254, $206.38 
Cano,Sierra,410987946197,345564353, $550.76 
Duran,Terry,522007895797,103913879, $996.10 
Fleming,Willa,466060734139,111413428, $605.14 
Bond,Fernando,929863284849,819926485, $611.78 
Ortega,Alena,413702724493,403061970, $986.74 
Zhang,Kobe,312693096160,754424073, $422.00 
Weeks,Sarai,408814620503,202681136, $917.36 
Bernard,Anders,847135088934,446957612, $545.32 
Bradley,Barbara,610459564806,932338290, $517.22 
Valencia,Richard,249929851452,353796760, $989.34 
Hickman,Maddison,516511018131,303619273, $700.35 
Santana,Jakobe,815659847130,912998165, $594.13 
Carlson,Myra,424276068352,778759498, $278.59 
Phan,Paul,404861913471,285268048, $563.45 
Quintana,Elsa,52123624459,790377877, $913.47 
Higgins,Kelvin,502605385370,484427753, $846.30 
Ferguson,Leighton,217686893514,336718124, $307.36 
Ingram,Miguel,398188475327,892939185, $806.91 
Hart,Katie,687763308186,407224714, $878.13 
Sierra,Joel,550875883852,712303664, $884.11 
Montgomery,Marceline,63975088912,619853304, $814.57 
Quintana,Maximiliano,101802186447,999100918, $525.77 
Best,Kenia,320694428162,367720804, $177.69 
McKenzie,Harlem,893225809197,841471711, $522.13 
Stewart,Briar,214118814407,158228359, $386.09 
Giles,Nolan,332176781119,645265104, $532.07 
Collier,Bailee,47646602879,120114304, $928.45 
Salas,Edison,138529202016,866217079, $865.81 
Benjamin,Amber,667194850345,860550970, $479.88 
Rose,Kyro,586778098734,688442451, $263.96 
Larson,Magnolia,613184363241,867722191, $344.89 
Barrett,Rafael,702758231578,747300104, $368.58 
Terrell,Kendall,590319487770,194865240, $124.04 
Miller,Jaxen,547295801088,585021394, $232.89 
Poole,Isabella,489935459659,529335421, $725.37 
McCarthy,Quincy,953098996403,781768387, $924.59 
Sampson,Kira,201638155522,907452006, $460.60 
Fischer,Cain,929436150673,291929820, $173.27 
Patton,Maci,332568806922,155849577, $405.07 
Hines,Moises,53776471477,434944680, $878.97 
Wilcox,Poppy,595793909110,797388778, $599.50 
McKinney,Jerry,204068612889,289855531, $709.22 
Stafford,Gwendolyn,44615997150,652897343, $872.73 
Holloway,Alfredo,101639907533,660418474, $698.40 
Charles,Mae,248673816034,281909256, $192.64 
Young,Conrad,897437661283,510706951, $557.62 
Pham,Zoey,891261142508,607902032, $954.06 
Montgomery,Russell,823662225048,980475126, $388.24 
Wallace,Evangeline,738146519804,858888922, $644.29 
Rogers,Chase,848588969120,210649553, $303.82 
Weber,Madelyn,661446617377,598803459, $926.97 
McIntosh,Crew,438138454434,132422194, $260.95 
Wilkins,Gwen,808569511040,762755509, $570.19 
Harrell,Yusuf,858934904033,115170965, $593.36 
Smith,Kara,906780042315,576841589, $303.55 
Hubbard,Liam,129549002085,570308791, $875.22 
Franco,Rosie,765073126626,613836421, $117.04 
Villa,Gage,493502435176,740681144, $898.34 
Burnett,Johanna,252927258646,914192995, $874.58 
Esparza,Davis,576637753549,101361155, $490.80 
Chavez,Ramona,538777808203,834085690, $947.43 
Moyer,Ian,297300716576,397557851, $896.44 
Hall,Zola,778401164270,360446062, $849.95 
Marks,Thomas,924172371013,540796190, $621.73 
Cardenas,Monica,564446561013,957752458, $302.76 
Montgomery,Johnathan,486405131924,587378268, $540.84 
Orozco,Evangeline,900523242391,405696218, $526.83 
Carson,Keanu,26374641545,670300603, $763.08 
Perez,Nalani,860621411561,940230315, $478.26 
Kane,Owen,77158846160,607669463, $268.60 
Pratt,Ellianna,302691545980,966940863, $447.14 
Villalobos,Rowen,232718099070,475113053, $941.27 
Dominguez,Zoya,23776124007,306831072, $144.98 
Adkins,Kaden,258585196498,644159558, $561.60 
Singh,Emelia,501766686574,227250438, $258.62 
Joseph,Louis,997443119581,932849395, $730.65 
Mata,Gracelynn,562090773228,114760061, $207.24 
Bentley,Ray,817791168906,692116330, $373.42 
Peck,Jaylin,908092475232,162991008, $876.19 
Gardner,Yousef,799530765800,758286797, $343.71 
Jacobs,Jordyn,382150922341,932285517, $176.69 
Clay,Bryan,208895829944,995065514, $542.82 
Bass,Aliana,743408265385,549577808, $345.78 
Blair,Landen,800661690678,359341069, $907.19 
Trejo,Frances,486141932397,713752866, $856.92 
Beasley,Wesson,281644388012,245690470, $359.78 
Dejesus,Jaylah,297841303054,574613758, $848.65 
Gates,Rio,8476688480,549315130, $296.74 
Jennings,Melina,192678128156,260823864, $984.36 
Chandler,Corbin,898091302932,275141260, $441.53 
Campos,Viviana,344002377613,854830902, $632.51 
Conner,Gideon,994404761418,230390193, $196.93 
Alvarez,Alondra,421791678333,896346286, $682.18 
Graham,Xavier,985209648264,886907461, $875.78 
Goodwin,Alaia,880892524255,624529778, $462.74 
Jenkins,Kaison,331342468465,232229608, $264.66 
Brooks,Rylee,657354477810,278811223, $782.43 
Adams,Jordan,556769843825,944532620, $802.23 
Dean,Stella,316036373966,939925056, $134.81 
Woodward,Ronan,567109755375,385004915, $424.21 
Thornton,Drew,405985350463,633634251, $952.04 
Booker,Malik,878378848180,409235040, $203.26 
Xiong,Nataly,443696833522,381786111, $920.76 
Bradford,Azrael,110365169113,381759029, $735.05 
Wilkinson,Rhea,658416605222,161714785, $250.70 
Lyons,Leonard,664720121844,248243142, $687.88 
Phelps,Kenzie,516411297298,883604232, $606.85 
George,Hamza,334508843661,556105867, $161.74 
Pham,Adelyn,168002175384,510006177, $868.59 
Dillon,Russell,912788440758,681769300, $834.24 
Petersen,Laurel,124959815647,202307206, $100.98 
Sims,Samson,875508792892,396335201, $908.11 
Matthews,Lena,157605777699,593165102, $219.20 
Bowers,Preston,914600676014,468564626, $883.14 
Wolf,Elisa,207076576152,952762085, $221.57 
Nielsen,Jase,736982813159,534152150, $419.72 
Casey,Vienna,719783049407,964500465, $436.45 
Norris,Armando,829264723427,621190672, $838.89 
Walters,Arielle,170944419051,445817307, $544.52 
Wilcox,Colson,530427288865,412491462, $648.30 
Duarte,Ashlyn,234042404879,193363528, $418.59 
Mathews,Abdullah,478153488128,633877818, $703.48 
Lowe,Sloan,267634706869,487468568, $839.44 
Stuart,Julius,360507565151,428840660, $496.25 
Mendoza,Stormi,60891198013,697300954, $115.17 
Scott,Dominic,770648303358,221308446, $637.62 
Mitchell,Aurora,720682091962,964463628, $943.60 
Graham,Jaxon,842583041074,340827123, $916.71 
English,Alaia,464955915524,126051545, $290.29 
Mahoney,Junior,745216986475,673470626, $985.10 
Simpson,Promise,100355637930,496406750, $924.37 
Mullins,Elliott,312059639210,590701913, $966.97 
Spencer,Maliyah,755921093177,571910536, $851.22 
Duran,Ace,183285765798,411257677, $368.63 
Gilmore,Willa,969824501593,891401514, $582.96 
Khan,Vihaan,396368650056,164446854, $688.47 
Clayton,Mabel,298201246638,804208828, $143.48 
Pope,Boston,341905582356,424496763, $727.11 
Combs,Aurelia,162421846680,670477653, $539.24 
Zavala,Ahmad,452130968593,180046656, $667.75 
Whitney,Liv,161537787939,216916159, $822.51 
Morse,Jeffery,529430638373,718133363, $108.44 
Cross,Kairi,710380929496,945124495, $667.97 
Marin,Fabian,74590762356,433069018, $873.56 
Keith,Celia,176491847796,796510821, $601.47 
Park,Jagger,957418072650,912072869, $818.06 
Davila,Lia,620766984585,719131216, $620.52 
Moses,Grey,31699886066,675224942, $823.17 
Stevens,Karter,714954603143,183531533, $132.62 
Hale,Zachary,30645023131,137534681, $493.85 
Owens,Brinley,826189697245,455879874, $956.07 
Quinn,Adriel,584468394965,871893756, $457.16 
Norman,Heaven,243878347862,591521224, $636.02 
Dunlap,Aziel,111932378446,998080146, $934.79 
Wood,Iliana,126334918105,323423853, $952.83 
Collier,Carson,114175385644,119446192, $232.40 
Walls,Ivory,91741096194,624871498, $899.29 
Pacheco,Larry,653911523298,343940339, $345.30 
Schroeder,Paris,941695741172,154221828, $525.41 
Duke,Izaiah,181761985908,566769110, $398.59 
Bryan,Melani,669398223021,440102469, $329.23 
Wood,Jaxtyn,28035831501,974784596, $291.99 
Butler,Natalia,899258196059,471934965, $592.73 
French,Ryder,224561295680,811499171, $775.33 
Johns,Lorelai,31310843874,777417686, $585.69 
Clayton,Joziah,538096414196,776746000, $612.94 
Charles,Saige,720724270330,701995901, $764.55 
Haynes,Conrad,723073557104,208983455, $376.55 
Walsh,Lexi,520889298516,189676992, $579.61 
Holloway,Bodhi,32891408154,224115982, $394.23 
Caldwell,Mae,213787252506,743912659, $724.03 
Nielsen,Rylan,7029956020,900300669, $267.43 
Morris,Vienna,717724628106,509098154, $633.88 
Nielsen,Christian,379394149383,989135341, $693.80 
Meyers,Vienna,542247145054,553534735, $300.90 
Weaver,Julien,33716710493,486665113, $503.15 
Hampton,Teagan,157995658060,379029098, $871.95 
Walsh,Hank,324334370462,647500711, $383.94 
Newman,Leia,144790801232,437183687, $945.57 
Ramirez,Anderson,149314047162,738736097, $847.12 
Hines,Grace,145804720682,682368429, $259.07 
Greene,Uriel,12613419647,697424646, $258.93 
Hale,Selena,627603035531,511843809, $215.80 
Norris,Ezequiel,236864687825,466755996, $457.03 
Ruiz,Arielle,536909563842,741621665, $877.46 
Kerr,Austin,346017500539,781023352, $481.68 
Magana,Baylee,112548617062,125881838, $192.46 
Hill,Rey,2543853668,814614306, $844.10 
Cooper,Hannah,54231489303,243711981, $582.51 
Lowe,Jonathan,869777025892,320304425, $260.37 
Keller,Amari,999497278350,726175146, $656.57 
Kelley,Nico,695412021601,956584953, $956.31 
Bentley,Rosalie,61860987409,356427926, $568.32 
Jacobs,Randy,482760917570,742803851, $251.25 
Villalobos,Camilla,342737399239,319867674, $242.19 
Norris,Reuben,776714296734,138477987, $143.76 
Patel,Arielle,281082370077,387867518, $630.76 
Walls,Parker,546952072477,352015926, $183.85 
Meyers,Lilianna,596199950586,512644947, $569.08 
Daugherty,Julien,70737400088,463172323, $320.27 
Hill,Magdalena,483327139614,280675926, $763.12 
Wise,Isaac,145053815149,331823758, $965.73 
Tang,Mira,888360685873,486601672, $307.71 
Middleton,Rogelio,960586379826,912312461, $387.49 
Sherman,Madalyn,485455637420,503890190, $585.39 
Simpson,Adan,595292732818,428007478, $615.86 
Malone,Anastasia,364272792826,526056423, $326.40 
Herrera,Ruben,956001441231,339701285, $687.11 
Brennan,Ximena,660548464836,930580803, $764.10 
Pacheco,Curtis,786049189675,866149572, $787.82 
Kline,Paris,253915161994,623096260, $799.59 
Park,Ramon,34863737574,526644457, $896.09 
Conway,Lia,539012644357,329368930, $545.10 
Stanley,Orlando,622814541816,253599998, $280.56 
Luna,Gracelyn,247115125454,915039991, $424.75 
Lloyd,Erick,896991259538,981124472, $485.15 
Vance,Emely,988024644253,626410494, $846.28 
Paul,Casen,649824855148,915433128, $987.13 
Gregory,Daphne,157733488167,580581164, $473.74 
Sellers,Travis,880013604278,734248734, $298.75 
Jacobson,Mercy,476991490180,733955450, $448.77 
Duke,Legacy,83346852277,833659575, $798.75 
Chavez,Melani,617680563641,252532596, $605.54 
Nelson,Ian,907984137618,376578503, $946.96 
Curry,Everly,974575617725,305986878, $930.36 
Cole,Briggs,81111001696,438402446, $180.93 
Lara,Margaret,556254084136,893276052, $805.85 
Lowery,Caiden,695749668363,624768188, $575.35 
Nichols,Estelle,405017062805,737265520, $648.05 
Morris,Atlas,787036951063,441751889, $643.51 
Cameron,Genesis,826905140731,101098581, $357.60 
Wright,Rayan,496653143104,725916414, $911.16 
Truong,Lily,931281643410,957280477, $599.21 
Roy,Ayan,35858664773,258807903, $239.71 
Harrison,Savanna,434769744552,829290824, $103.19 
Ibarra,Gavin,588043614281,175410541, $392.52 
Copeland,Madilynn,736398978200,228672555, $659.64 
Weber,Axton,861302062836,816221788, $938.38 
May,Alayah,145159887947,303201974, $126.53 
Walsh,Finley,102704702270,465704041, $595.61 
Solomon,Leia,915443534996,894283092, $676.40 
David,Musa,436455574353,630044959, $261.18 
Matthews,Haylee,935041866168,470335134, $180.15 
Parrish,Preston,667770212930,283052091, $932.49 
Bernard,Tiana,245370504759,874782930, $148.48 
Santiago,Jair,630698397873,497273001, $993.29 
Guevara,Nyla,133861581416,375272617, $109.76 
Aguirre,Tommy,598945609236,120935900, $189.16 
Matthews,Ariah,538607828405,381749124, $937.02 
Bauer,Preston,398057800584,476025873, $408.46 
Walsh,Haley,237826068579,237940686, $824.68 
Tanner,Bodhi,311282594469,708594631, $749.69 
Knapp,Harmoni,431455280415,688772604, $394.55 
Donovan,Boden,173282039322,780418891, $584.90 
Alfaro,Azariah,332584758545,664818584, $896.87 
Moss,Xzavier,34556224313,756853425, $977.45 
Vaughn,Bianca,417843052706,667679602, $757.96 
Koch,Remy,50179996417,464275721, $775.00 
Miller,Milana,835973870938,144146120, $730.32 
Barrett,Benjamin,661807108848,587111148, $635.87 
Rush,Kendall,611320059115,149051406, $162.75 
Pearson,Kaiser,195924203742,581457538, $235.52 
Blake,Kiara,137736480595,621687064, $151.88 
Mason,Zyaire,834552406619,145885416, $269.56 
Franklin,Sienna,625093328932,938251712, $799.99 
Shields,Simon,116533901525,290611058, $470.01 
Bryant,Analia,228813845024,799002841, $467.46 
Vang,Jonah,782776795977,361760618, $888.22 
Garner,Madisyn,494511526010,455445098, $581.96 
Proctor,Sage,446543469144,994638870, $644.42 
Rasmussen,Chandler,650947864697,812765813, $609.31 
Clay,Will,90574663875,163130292, $527.45 
Patel,Aliana,87891136151,884691447, $469.93 
Buck,Parker,404750347069,784046195, $112.16 
McBride,Livia,28248041898,220558630, $820.23 
Pierce,Denver,769854024614,176638420, $598.85 
Vega,Arabella,941335853956,168618244, $707.23 
Pitts,Aidan,870777611100,688550003, $404.43 
Hayden,Nala,232977410514,687517044, $516.68 
Warren,Leroy,993247505839,852955260, $279.13 
Holmes,Sloane,624416887977,396222548, $177.77 
Sims,King,101811708178,410146370, $566.39 
Lu,Lena,619822246884,134391797, $954.91 
Hutchinson,Duncan,225422671517,736735093, $870.15 
Travis,Jamie,538574532124,448399853, $816.50 
Watkins,Willie,21872712491,124894524, $666.78 
Marks,Lola,324976277018,692851421, $452.73 
Lynn,Amos,559147097678,164074256, $383.24 
McFarland,Samira,983765864261,870535152, $417.99 
Velazquez,Dane,638325768730,747813169, $396.10 
Harvey,Jaliyah,115636199534,121631635, $826.64 
Daugherty,Cayden,130791027824,214179473, $514.39 
Herman,Magdalena,463023808684,260280912, $813.65 
Gallagher,Juelz,169328597691,805809576, $681.09 
Rosas,Elliott,785882525406,988960610, $731.56 
Ramos,Remi,142601209642,958276491, $538.08 
Conrad,Alice,888375485940,821570517, $595.29 
Abbott,Dilan,568387335530,644650747, $719.25 
Boyd,Melany,344001266794,719348098, $928.81 
Pope,Dean,164401373169,402358397, $277.16 
Lee,Aurelia,333501158302,141934109, $823.56 
Cox,Jack,17933913833,278634935, $911.54 
Shah,Sadie,528693283542,783334433, $337.36 
Martin,Zain,120708952592,175581072, $361.36 
Parsons,Mila,313201183104,991697007, $533.57 
Oliver,Lewis,986750952350,107726183, $875.40 
Beard,Camille,461625490473,915103183, $607.42 
Maldonado,Nathanael,970618462732,197054190, $169.46 
Rivas,Elaina,772435315319,709451866, $930.77 
Watkins,Damon,896029113927,466573603, $893.03 
Garrison,Lola,161071725896,912819674, $894.34 
Chandler,Noe,151787090790,982151601, $990.65 
Long,Viviana,467144633470,157357681, $454.53 
Freeman,Jace,980346687634,783491657, $789.71 
Weiss,Norah,57017424386,829811150, $762.45 
Olsen,Koa,703770591943,997736282, $877.71 
Soto,Oaklyn,666215067176,523425789, $733.04 
Massey,Barrett,656570134738,520774375, $484.95 
Dawson,Clementine,356529647236,393179291, $399.05 
Nolan,Iker,891696498339,634297877, $605.00 
Wilkerson,Itzayana,404361103726,212978178, $208.78 
Roman,Carmelo,41360019179,996837189, $590.53 
McCarthy,Astrid,91970795836,874249193, $904.98 
Hicks,Devin,819826596821,201816574, $780.42 
Morton,Alina,899017971271,535698934, $473.28 
George,Roland,352130031915,710539432, $796.12 
Quintero,Adelyn,7042692154,914089049, $282.13 
Burnett,Thatcher,704180829882,198782963, $111.07 
Contreras,Emberly,566771184014,622905850, $351.98 
Weaver,Emilio,695101949353,821935203, $928.96 
Acevedo,Teagan,935440962563,769590132, $837.47 
Hopkins,Dakari,229390381698,985438194, $267.21 
Beasley,Gabriela,832270554310,588922160, $202.76 
Johns,Stanley,417131917365,105380709, $178.90 
Hall,Giovanna,204935099842,499569889, $642.75 
Ford,Thomas,510589513749,479600616, $153.76 
Rosas,Alexandra,448097293742,503665963, $408.06 
Morrison,Remi,356479439012,121368902, $212.59 
O’Neal,Rebecca,811136827447,475014518, $962.72 
Howard,Eddie,450054582473,863791554, $645.34 
Andrade,Sophie,388685867407,790136062, $381.04 
Beil,Abdiel,329783336563,239534098, $494.57 
Herrera,Itzel,680214453159,522075598, $195.29 
Hampton,River,889726675443,272707487, $932.63 
Carrillo,Leona,921547975733,550815619, $244.33 
Rose,Wade,664281860716,864748074, $744.26 
McConnell,Magnolia,892287288079,361780271, $190.12 
Bravo,London,843281284067,904170156, $168.55 
Banks,Amoura,38417855192,100372510, $674.61 
Steele,Martin,29085965062,202026846, $178.76 
Carlson,Rylie,404042359861,172343984, $207.35 
Jimenez,Paul,501485420762,129080364, $248.04 
Goodman,Adeline,338338959021,882587657, $694.69 
Page,Philip,139755773894,357241337, $241.55 
Ray,Cataleya,50190431499,788927089, $742.48 
Franklin,Arlo,327276283474,747938052, $620.27 
Waters,Angela,950548853924,269951195, $682.02 
Patrick,Maximilian,386860172613,196765402, $513.17 
Hail,Lyra,790673057293,930671289, $766.97 
Gregory,Hector,681994421296,507772537, $385.37 
Ballard,Alaya,67376375565,371049752, $273.88 
Massey,Kenzo,716450824261,707537410, $998.28 
Buck,Clementine,671989224722,201790062, $982.68 
Costa,Jon,149572941293,204902301, $978.15 
Ortega,Robin,14833950009,718390174, $325.90 
Benson,Kobe,397556183790,503781121, $224.44 
McDaniel,Collins,817884037290,728409109, $773.13 
Levy,Major,478494395815,682229604, $258.17 
Atkinson,Flora,902872619578,931465657, $230.36 
Preston,Duke,987625339386,370081165, $469.92 
Johns,Indie,832232095395,886493855, $177.68 
Foster,Joziah,883797895557,131142105, $234.56 
Livingston,Brielle,412667388646,743796062, $680.18 
Garrison,Ambrose,574302523230,292390670, $808.93 
Nicholson,Cadence,410658891079,428734706, $682.91 
Hobbs,Rodrigo,218232423051,218130123, $288.01 
Gentry,Lacey,555045400284,666464002, $321.29 
Mora,Magnus,380926353352,341602789, $916.82 
Yates,Jemma,325232907994,323238094, $580.31 
McMillan,Braylon,360235165498,959330475, $248.01 
Hodge,Oakleigh,110494690650,854223720, $829.52 
Ali,Reign,826858114933,320788632, $282.04 
French,Zelda,158108875273,375115161, $285.87 
Reyes,Corey,950934705409,148947900, $248.76 
Jordan,Audrey,103712845342,131112969, $407.05 
Vo,Sawyer,782267395426,945961691, $412.40 
Ortega,Artemis,101722478254,891314809, $867.72 
Chen,Kobe,70970672043,720926164, $368.32 
Barrett,Valeria,561413837223,990595767, $884.00 
Griffin,Angelo,958816691631,840562014, $850.71 
Nixon,Charlie,852981571405,513545313, $988.31 
Bowers,Cory,936092465790,135530887, $658.87 
Richmond,Elisa,88306969749,641058791, $846.53 
Moreno,Mordechai,676264356373,235782294, $628.41 
French,Mary,943295343220,900809689, $181.98 
Burton,Corey,810321138757,554848992, $846.38 
Buck,Miriam,250422130550,902564652, $876.62 
Fry,Jon,294186996790,308043967, $858.12 
Rodgers,Clarissa,194993747051,620546140, $857.57 
Daniels,Mathias,124436909255,685765037, $395.29 
Nicholson,Ember,920853948448,756733353, $596.20 
Coleman,Rodrigo,189774449190,537342580, $459.46 
Summers,Julia,167463095780,775651413, $186.22 
Ramsey,Darius,128597477003,654103433, $769.09 
Lin,Lyric,431899115040,539152960, $657.08 
Rose,Conor,642767523255,936902112, $369.94 
Curry,Magnolia,981311146672,359630648, $946.80 
Montoya,Briggs,314372429439,656621629, $840.69 
Vincent,Kamryn,51392872570,361029564, $792.91 
Travis,Aarav,679359001741,779170796, $183.36 
Douglas,Mazikee,846744340989,279260044, $452.47 
Jacobson,Derek,896820099623,906311417, $470.94 
Dudley,Royal,774889370069,853203467, $367.80 
Sullivan,Colter,528536602889,287222650, $574.60 
Palmer,Melanie,740690071018,548074241, $370.72 
Benton,Theo,250201708087,485998580, $185.30 
Fisher,Anais,998479028987,389380091, $337.67 
Rowe,Gael,903307275449,393609560, $190.97 
Francis,Matilda,435581945856,204357497, $439.68 
Garner,Harvey,608135754962,359406104, $370.93 
Mullen,Jacqueline,109519451559,528484421, $519.14 
Lang,Shepard,463188687511,848490340, $315.36 
Brennan,Amirah,554145286624,132672978, $737.30 
Macias,Curtis,676199118108,259655504, $420.54 
Kelley,Adley,840282394940,221674097, $675.35 
Gates,Eric,227898934394,963644832, $868.34 
Schroeder,Melina,390195034182,990412284, $295.37 
Schultz,Izaiah,428064781380,420665444, $944.12 
Fisher,Briella,251233015859,147738386, $551.71 
Strickland,Gael,346685679046,653889543, $610.00 
Crane,Nia,662915693842,845363923, $693.91 
Barker,Fox,841997734073,682001990, $529.89 
Blevins,Remington,700939711927,916675774, $152.32 
Velasquez,Avi,482895589686,253668270, $447.05 
Russell,Esme,976384537138,618368228, $105.07 
Melendez,Weston,48785346070,164093520, $570.56 
Terrell,Bethany,918200669628,324972674, $869.52 
Wilkerson,Jaxen,439643470926,443160046, $843.50 
Bowman,Janiyah,247969463160,706723193, $761.10 
Benton,Francisco,165795704542,296439793, $432.20 
Carpenter,Anais,775610007236,627184115, $786.80 
Burke,Jeremy,254835954093,232276303, $482.73 
Foley,Vera,537854767135,640300990, $858.10 
Jordan,Mohammad,821784652554,366639969, $226.27 
Hood,Adalynn,978759157078,292966431, $138.84 
Boone,Brixton,767553863700,574773894, $229.37 
Rivers,Mariam,116760176549,662570743, $676.52 
Lang,Bear,175588505315,926709881, $420.79 
Bradshaw,Amirah,14297441287,849913148, $792.93 
Harrington,Emory,698662969156,972688924, $492.94 
Mejia,Legacy,978284722715,899200443, $677.89 
Krueger,Atticus,37030149587,145797440, $320.00 
Benjamin,Kamari,290252831310,256721454, $419.23 
Sosa,Kyro,369025613518,373945069, $930.89 
Stein,Cassandra,128319827801,264009244, $369.57 
Benson,Creed,464205597897,874317169, $387.75 
Kirby,Collins,559194315291,502392739, $335.22 
Richmond,Tony,477603424163,806885708, $942.05 
Woodard,Whitney,623662790685,245912188, $801.78 
Wright,Westley,657190668584,295617370, $334.27 
Chen,Lily,89673681999,313540676, $129.65 
Wilkins,Emmanuel,921165929848,405658578, $769.20 
Bryan,Amalia,855972413393,317271216, $978.38 
Hanna,Jaxtyn,138016460577,234409013, $263.65 
Wallace,Cynthia,676762602868,535016975, $128.20 
Morton,Chase,657828551833,647455705, $322.34 
McDonald,Mallory,527578230742,966197947, $911.82 
Silva,Calvin,524183327215,554170869, $422.32 
Jordan,Lucia,817839430040,599086760, $714.64 
Dickerson,Sawyer,658209358870,444779681, $858.59 
Hutchinson,Opal,500637378935,757316297, $567.11 
McClure,Korbin,83359305938,485934064, $457.56 
Khan,Estella,252358512888,333265413, $766.37 
Blair,Kendrick,918513655902,235673462, $529.17 
Hubbard,Frances,795517813720,311409156, $168.62 
Barnes,Forrest,585722640680,898732898, $119.96 
Fuentes,Liliana,664080581007,979703723, $236.03 
Klein,Bowen,503939479892,946968098, $239.84 
Chen,Elianna,305353807432,523385399, $863.05 
Wolf,Emmanuel,818164633939,543950625, $922.29 
Ward,Jolene,808636983341,257556569, $134.47 
Peterson,Jameson,745964443541,476595164, $446.36 
Rangel,Caroline,470413291719,434195353, $528.17 
Sawyer,Saint,343678483658,601423669, $526.64 
Davis,Marina,927690782886,876461272, $369.32 
Woods,Lucas,435586081077,271711468, $446.88 
Odom,Reese,425693439339,553260297, $682.84 
Freeman,Kylian,554805550208,455816157, $342.47 
Barajas,Norah,201233441571,131745632, $252.75 
McConnell,Brennan,180990579403,217842011, $372.18 
Yoder,Denise,967710414792,715109017, $176.42 
Warren,Johan,764729589668,104669557, $470.94 
Fields,Sloane,537188660262,464854425, $126.63 
Magana,Clayton,938568311577,936309024, $499.39 
Pittman,Amaris,515218826809,936118214, $471.01 
Campbell,Valentino,993426550800,871956762, $550.35 
Casey,Addison,367277044206,223330173, $924.21 
Koch,Armando,359062532451,324010630, $233.69 
Friedman,Milana,292634161655,340434292, $626.96 
Pugh,Darwin,757638532580,199903480, $151.56 
Delacruz,Landry,485072714196,870945010, $100.50 
Arroyo,Memphis,634495214299,244769700, $364.25 
Rich,Kyra,252769365780,232636814, $755.66 
